erd1qqqqqqqqqqqqqpgqdut8zarernqs8lrvrvmxe8uwx7px5uzu0n4sax53md: ['TEST-9f8fca', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqdxj07vugl2taf7czqjnxhqfyjjdmsjuc0n4su5eyt7: ['LUD05-c33bef', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqe3gtyx3cvym9jshs2a62g6kqu259u9n40n4s89wzld: ['CCCCC-2120a8', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqed3azxm969z9375cma9kpwpf92lwfarj0n4sa76r6h: ['RND006-bfc795', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqee4gujy649dqxm038qw4tzqzm02cqpzn0n4slvqnry: ['MTP-9aa287', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqepg2s5rmu4qv0g9tzwdhr6qfvm35rd2e0n4s0r2j3e: ['Y36-1dfc74', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqevgyccu7an58dvz9mxur9fds9l5zc2pa0n4sflkkfp: ['BTCGREEN-a29bda', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqewm69fwankledz53trjtztj5m6mkgpt80n4s5c5zn5: ['LOL-8c73bd', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqf3ahfe7kl9a5kve9ckxcwvkqcterx3vn0n4sj7sqqr: ['TBDB-102b6c', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqf4zt6fv86swp44p5d8q2w4ddglnzmjwz0n4s0tkc7s: ['TEIST-c749b0', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqfguewzdppq2esh9vjz4h0u6us0d0tu9r0n4sxsplzh: ['LIST-882cbf', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqfrszcjxfpp2rzurz83u9ukge5ppcqu6a0n4swrf9zz: ['FOXXXXX-6e8aa0', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqfxss5ut88vf2npllkvjhkmxx9sf4we500n4s97z6p7: ['GHI-68bf71', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqg05ev8l5ydswac55rtvr2kkatnntr0p20n4sadvmx8: ['DOGE-495113', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqg864ymyf7v9tk49rge7geeah2n85lsw30n4svgxnmd: ['TST-f6e145', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqgc3x0svgt25f9p6y72p93m2ejwdjgw0s0n4srj0xgy: ['LIQLK-232086', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqgurmpm9mvzx8mqhm4yzyynvaex68ngrs0n4s5v7er8: ['TWEGLD3-2b902c', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqgxe3zdvcryrg0h8h0yac22chdzzxjyev0n4s0cw4qv: ['ISIC-1f11ac', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqh4h4peya82lafkjvwp4le4lu65s8fwcw0n4spqf949: ['MSTCH-4645ed', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqh7ds4z4cswktn2z7z7pfct4sa3qn2dsp0n4sas2vus: ['CRT-f55762', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqh9r4tm4h7en2vsynymavd3953cmdynpg0n4s588at7: ['LPT-20b0e0', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqhesqllec0vcxgyr96eu43kuv032sdsk30n4sl42tjc: ['EBUD-eb3db6', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqhfj3hcp59uzl5artkus5e9nql07ffc6r0n4shsklnh: ['MDI-2d5563', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqhjap95ywh0arsjq7dt45r49nr3xca3zv0n4svx65jc: ['TESTBID-24c481', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqhk8ffsawgjhkeeqzzuhqxcchz37q0xah0n4swuacx4: ['ONEDOLLAR-c3d1c5', 'USDT-58d5d0']
erd1qqqqqqqqqqqqqpgqhlnuj8dpru7zs4mm49pudr2uk53w74px0n4snd2495: ['EMR-6310dc', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqhppv9tsepcv75c80kwpxm6uxwpea3hsw0n4sr4a650: ['TOKEN2-b609bb', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqhqfk5gs7g0s8cutl77mp0va0hdujr2a20n4sh7dccq: ['DLGE-572783', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqhrucynqylchjvhsqgyk27mm38p4297lv0n4s5r35f8: ['FLIP-63e9f4', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqj5ldy9xm5nl854d8rclzgyzc3rv23c490n4szjnu7m: ['OXSY-26cc7c', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqj6vets2zdk8a3ffx4e4whvmaelhqxn7e0n4sz6nhlv: ['CLDX-dc972b', 'MEX-a659d0']
erd1qqqqqqqqqqqqqpgqj8lqc7wd79e3ll8drj4cph305s3wkpc80n4saf2an5: ['TEST-8249fb', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqjnytztzt2pwhrzhwttarnwpavrfulpt20n4scuch7h: ['FRAG666-ed97fa', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqjtrcc96k4p4jmygvcenxttn4mh3fjr240n4szdhg2x: ['LAT-f7a051', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqjtux9anea4ljullkwe756r0lz6fvlz860n4srevk6l: ['AAA-6bb26d', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqju6tjkhzjvs36e0vnfj7dg80v2lrylqn0n4s8sznn2: ['WEGLD-a28c59', 'TES23J-9779ef']
erd1qqqqqqqqqqqqqpgqjuz7udmr5awc5fp6msq2hfalcak895nm0n4sxgmr3g: ['TEST-e9c273', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqjxzzcwx4664xp7p5yf3lar3raxdt3xkq0n4shz6l80: ['PCORN-189342', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqjyy9uy9fekrkly5p09l8dadt3jj8jlus0n4smuxner: ['TEST222-628327', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqk25qajx9agxhwznmrw0asp9nmjl7qjgc0n4sx5mrun: ['BNT-d020ac', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqk2edwvc9je4k35mxg3ll5y9jd3q9ej850n4s8vh0su: ['TADA-1e4ac8', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqk47kd3ym3alcsnxfh2s93qxxtwnjmukq0n4s37skmp: ['SFSD-58b342', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqkcxsw6dd5su8m3ez7q6cjgjvfsyvxmv50n4s9g9gz9: ['MUX-34c5e9', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqkesz5whk008525zhrq45rfym4areg5ef0n4s2yzd75: ['XOXNO-589e09', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqkka8cycl96lan6ehwxm77hwa6dg8qq3a0n4s3jjgwm: ['FEZ-36792b', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqkv89wjae844eh0t52u5mjwqkdhdnmkmp0n4sut5mdu: ['TRYYOU-82dcab', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqkxffcgc0e97t792675qjl69g9w0rnzae0n4specunz: ['TESTKWAK42-dd4b65', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqkyp3j9jp402905499y0tsnuqnxvdxcr40n4swhhxsz: ['SNP2-bb9296', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgql0vakx2un7zlva6h8ya3498js76w96a30n4sw67wzp: ['TOKEN1-256056', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgql4au5se4sn64gpll7zdk0d2kf3c6x6070n4sdmaxds: ['TMH-20070f', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgql5fc9z957tekf4rc5jhluv23a5dcjmjn0n4s8c7af8: ['TEST2-beba65', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgql6mjtj7qshq0xdcv96vnrq3gshc7x9yg0n4snn3yqc: ['MLR-cd3985', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqlgmcyjuq6mlcq2wlrv28dg09qtsqlamg0n4syx8vde: ['OPT-94923d', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqljtu6fkgp0uanxt3myz03dkv5x03dh7q0n4s7vjavn: ['RND003-6a58cc', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqll98p9940f6u5erf4dje5r0f94g4jctc0n4s48vmz2: ['WBTC-05fd5b', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqlmwaf993zd0ukglm5m59w4fd8mwp95us0n4sl223md: ['MEX-a659d0', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqlnaew0lpd3gv4z687jeaudsyguad8cn30n4s5w39y7: ['DO3-99f01a', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqlnreflk95rwkaz4xlxj5xlwmhz93d7rp0n4s4mpyac: ['PORKI-387e09', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqlrgh96yaf4em92jkhxe64dp7xved0xhv0n4s273rvw: ['VICTOR-7cc666', 'MEX-a659d0']
erd1qqqqqqqqqqqqqpgqls8gnlhp6640whet4yzqf755e7wfp5av0n4scvnhkx: ['TPT-9486bf', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqltgq5qj08jfrpzcny2cyw82sxj308vpu0n4snwh6fm: ['EDU-a8f3ee', 'USDC-350c4e']
